36.6581476775,117.0193174472
36.6585349717,117.0277412568
36.6736473200,116.9698720900
36.6588751310,116.9772968339
36.6837303077,117.0018819748
36.6912570883,117.0434092664
36.6855818096,116.9896673834
36.6591974614,117.0126809528
36.7821849175,117.0040427545
36.6776708700,116.9816018600
36.6941028340,116.9931643340
36.6597927974,116.9267872377
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
36.6598836328,117.0020496919
36.6599883141,117.0885409362
36.6599924614,117.0200279528
36.6679018334,117.0095920552
36.6602811501,116.9918440772
36.6605506659,117.0448862051
36.6716948891,116.9904315383
36.6998303500,116.9891118000
36.6846135206,117.0055533006
36.6742377689,116.9543113537
36.6809967175,117.0235066322
36.6765193806,116.9946641449
36.674284094,116.9692783257
36.8066511000,116.8926953400
36.6936752936,116.9806165348
0,0
0,0
0,0
36.6771688891,116.9902185383
36.6858534241,117.0163761522
36.6864928096,116.9926293834
0,0
36.6863110485,116.980756146
36.6682233667,116.9690368726
36.7093055093,116.9875288813
36.9153236897,117.5018639392
36.6815378096,116.9887333834
36.6979373304,116.9909037617
36.6842877175,117.0247536322
36.6950403500,116.9890518000
36.673717094,116.9696783257
36.6826300485,116.974948146
36.6681628334,117.0030870552
36.7013369745,116.9889840206
0,0
36.7047019797,117.0067835749
36.6984479745,116.9891920206
36.6863185700,117.0164087800
36.6168193662,117.1385885837
0,0
0,0
0,0
36.6996909745,116.9886120206
31.3970238132,120.5843398129
36.6703043806,116.9936661449
36.6952903500,116.9795018000
36.7116079517,117.0361183848
36.4259548138,116.9472013985
32.2439718246,120.2421437784
